Country Name,gdp_per_capita_2023,gdp_growth_rate_2023,inflation_rate_2023,exports_2023,labour_force_participation_rate_2023,life_expectancy_at_birth_2023,school_enrollment_rate_2023,unemployment_rate_2023,access_to_internet_2023,mobile_subscriptions_2023,lpi_score_2023,cpi_score_2023,political_stability_2023,regulatory_quality_2023,co2_emissions_per_capita_2023,renewable_energy_consumption_2023
Afghanistan,0.0,0.22353381803066244,1.0,0.057831642095063175,0.21320888018691586,0.16967526152065115,0.16146989249057392,0.5004255319148937,0.0,0.01270172763385433,0.0,1.0,0.0,0.0,0.002586440535689105,0.24242424242424243
Australia,0.49005883039451914,0.23138004857385205,0.714515164071125,0.11686474035853214,0.6759485140186916,0.9050882761543901,1.0,0.6905910165484634,0.9766297662976631,0.01607191199951381,0.7500000000000001,0.15384615384615385,0.8168316736997405,0.9063027103506931,0.17257438356515495,0.1490909090909091
Bangladesh,0.04978030526339208,0.25641911751443724,0.5950306515513877,0.03652498914685765,0.5738317757009346,0.5429521931950947,0.32046277902042847,0.6031205673758866,0.32964329643296436,0.10551991999955801,0.29166666666666685,0.9384615384615385,0.14851485755121774,0.10668258586283308,0.008961990921882131,0.30303030303030304
Bhutan,0.09223717322699669,0.2503958353080478,0.7526385568522741,0.10920652941511716,0.6093457943925233,0.4696106448505848,0.5238848091108672,0.7418439716312059,0.8696186961869621,0.00040994093890021487,0.2500000000000001,0.26153846153846155,0.8564356792323242,0.2307815966310047,0.031109317093122448,1.0
Brunei,0.5960597504985296,0.20954122522466898,0.8605771449087712,0.409763305204961,0.6022530841121494,0.5712602156851676,0.511110343955872,0.5366430260047281,1.0,0.00029320935474781625,0.5126811594202899,0.620159151193634,0.9950495391451238,0.5959119104689915,0.26068794871661155,0.0
Cambodia,0.037420332402561735,0.24767203806152074,0.8112276979991182,0.35297949863659495,1.0,0.3699058999886029,0.1947098103108586,1.0,0.5289052890528905,0.01076801529290217,0.20833333333333337,0.9692307692307693,0.4851485259794034,0.1889658239988843,0.01269986279737909,0.6351515151515151
China,0.1604539550837144,0.2507788613129021,0.8639841976843237,0.07531015638744021,0.6706915887850469,0.6847516157751401,0.5155443650049982,0.5542316784869977,0.7355473554735548,1.0,0.7500000000000001,0.6615384615384616,0.24752475183341532,0.27781551792028314,0.11574103514018799,0.18424242424242424
Fiji,0.09287105926324214,0.27519131875572966,0.810650512474699,0.2427438152842002,0.5068971962616822,0.22503797420734362,0.5889814880085056,0.628936170212766,0.7576875768757687,0.0005422681893270129,0.16666666666666663,0.5076923076923077,0.7475247437433408,0.34495612285886273,0.029453967813562885,0.34424242424242424
Hong Kong,0.4976072386127912,0.22960426641208925,0.8120879903801875,1.0,0.5009345794392523,1.0,0.6560289387477998,0.7585815602836881,0.96309963099631,0.013143719026071966,0.8750000000000001,0.15384615384615385,0.7128712787651409,0.933081692116511,0.05665466404530521,0.0048484848484848485
India,0.057089404436542576,0.28193794777137726,0.7130621050520995,0.08770756143565442,0.5121495327102803,0.42760240384241577,0.4015160860925779,0.6429314420803783,0.4698646986469865,0.6298322090177294,0.6250000000000001,0.7076923076923077,0.20792080604934857,0.303152371654907,0.02530449595619436,0.42303030303030303
Indonesia,0.0947618587800881,0.24861687544105904,0.7682264376661837,0.08710905234907199,0.7285981308411216,0.3905642736531143,0.6028117077485207,0.7246335697399529,0.6334563345633457,0.19447068768335737,0.45833333333333337,0.7846153846153847,0.2871287174640174,0.3832458960921839,0.02953918440617034,0.24484848484848484
Japan,0.341480598068671,0.21245980821616353,0.7794319993565046,0.08748573664202783,0.605607476635514,0.9478744475516003,0.6597032217380319,0.7915839243498819,0.8523985239852399,0.12098961872717529,0.8333333333333334,0.18461538461538463,0.8366336764138047,0.756711253615511,0.0934301041019799,0.10666666666666667
Kiribati,0.00958530600337738,0.23870570080080367,0.6117674298849372,0.0024325455232364693,0.42056074766355134,0.18860490098729565,0.5596659672855451,0.0,0.8646986469864699,3.331289123144327e-05,0.5126811594202899,0.620159151193634,0.9356436105979838,0.19165008377185933,0.009049783002790641,0.5078787878787878
South Korea,0.3587763841410405,0.20900102864394599,0.7702522353608844,0.21813647312469153,0.6317757009345792,0.9214269225155882,0.6110688494900594,0.7844917257683216,0.980319803198032,0.04634832236642191,0.7916666666666666,0.3384615384615385,0.698019816501005,0.6809287327747406,0.13657063525774574,0.04363636363636364
